"Source:","C:\Users\dougl\Desktop\Douglas Feitep\PICDUINO\PICDUINO.kicad_sch"
"Date:","07/06/2022 20:56:03"
"Tool:","Eeschema (6.0.4)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","42"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MPN","OC_FARNELL","OC_NEWARK","PACKAGE","SUPPLIER"
"","","U3","ULN2003","Transistor_Array:ULN2003","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/uln2003a.pdf","","","","",""
"","","U4","HEF4094BP","New_Library:HEF4094BP","DIP254P762X420-16","","HEF4094BP","385840","10WX5482","DIP-16","NXP"
"","","Y1","Crystal","Device:Crystal","Crystal:Crystal_HC18-U_Vertical","~","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MPN","OC_FARNELL","OC_NEWARK","PACKAGE","SUPPLIER"
"1","1","BZ1","Buzzer","Device:Buzzer","Buzzer_Beeper:Buzzer_12x9.5RM7.6","~","","","","",""
"2","2","C1, C2","22pF","Device:C_Small","Meus Componentes:Cap_Disc_100nF","~","","","","",""
"3","1","C3","330nF","Device:C_Small","Meus Componentes:Cap_Disc_100nF","~","","","","",""
"4","2","C4, C8","220uF","Device:C_Polarized_Small","Meus Componentes:Radial_Caneca_D6.3mm_220x16v","~","","","","",""
"5","3","C5, C7, C9","100nF","Device:C_Small","Meus Componentes:Cap_Disc_100nF","~","","","","",""
"6","2","C6, C10","100uF","Device:C_Polarized_Small","Meus Componentes:Radial_Caneca_D5.0mm_100x16v","~","","","","",""
"7","2","D1, D4","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","",""
"8","2","D2, D3","LED","Device:LED","LED_THT:LED_D5.0mm","~","","","","",""
"9","4","J1, J8, J9, J10","Conn_01x03_Female","Connector:Conn_01x03_Female","Meus Componentes:borne3v","~","","","","",""
"10","1","J2","Conn_01x14_Female","Connector:Conn_01x14_Female","Connector_PinHeader_2.54mm:PinHeader_1x14_P2.54mm_Vertical","~","","","","",""
"11","1","J3","Conn_01x05_Male","Connector:Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","","","","",""
"12","1","J4","Conn_01x02_Male","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","",""
"13","1","J5","Conn_01x04_Male","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","",""
"14","1","J6","Conn_01x16_Male","Connector:Conn_01x16_Male","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical","~","","","","",""
"15","1","J7","Barrel_Jack_Switch","Connector:Barrel_Jack_Switch","Meus Componentes:Conn_P4","~","","","","",""
"16","4","K1, K2, K3, K4","FINDER-36.11","Relay:FINDER-36.11","Relay_THT:Relay_SPDT_Finder_36.11","https://gfinder.findernet.com/public/attachments/36/EN/S36EN.pdf","","","","",""
"17","1","Q1","BC337","Transistor_BJT:BC337","Package_TO_SOT_THT:TO-92_Inline","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bc337.pdf","","","","",""
"18","2","R1, R3","560R","Device:R_Small","Meus Componentes:Res_1-2W_TermJust","~","","","","",""
"19","1","R2","10K","Device:R_Small","Meus Componentes:Res_1-2W_TermJust","~","","","","",""
"20","1","R4","1K","Device:R_Small","Meus Componentes:Res_1-2W_TermJust","~","","","","",""
"21","2","R5, R6","10R","Device:R_Small","Meus Componentes:Res_1-2W_TermJust","~","","","","",""
"22","1","SW1","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm","~","","","","",""
"23","1","U1","L7805","Regulator_Linear:L7805","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","","","","",""
"24","1","U2","PIC18F4550-IP","MCU_Microchip_PIC18:PIC18F4550-IP","Package_DIP:DIP-40_W15.24mm","http://ww1.microchip.com/downloads/en/DeviceDoc/39760d.pdf","","","","",""
"25","1","U3","ULN2003","Transistor_Array:ULN2003","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/uln2003a.pdf","","","","",""
"26","1","U4","HEF4094BP","New_Library:HEF4094BP","DIP254P762X420-16","","HEF4094BP","385840","10WX5482","DIP-16","NXP"
"27","1","Y1","Crystal","Device:Crystal","Crystal:Crystal_HC18-U_Vertical","~","","","","",""
